ArticleName, Summary, Link
0,Opinion | Meta is last ditch effort to save Facebook - The Daily ...,"Meta Is Last Ditch Effort To Save Facebook
Amid privacy scandals and controversy, Meta CEO Mark Zuckerberg revealed.

Facebook, now under Meta, is undergoing a serious rebranding - most noticeably the incorporation of a future ""Metaverse."" This Metaverse includes spaces to work, collaborate and interact with others as well as a gaming platform reminiscent of Microsoft's failed.

It is clear that Zuckerberg is aware of the disdain people have toward the privacy violations of Facebook - throughout the video, he emphasizes the importance of ensuring privacy from the early stages of the Metaverse.

Zuckerberg's rebranding of Facebook could be an attempt to hide the baggage which comes with the name.

""As long as Facebook is operating in the shadows, hiding its research from public scrutiny, it is unaccountable. Until the incentives change, Facebook will not change,"" Facebook's whistleblower Frances Haugen stated.

Zuckerberg argues the Meta platform is designed for a distant future, but professional mockups make the usability of the software look clunky and awkward.

The question is if Zuckerberg's attempt to distract from Facebook's many affairs will be effective in keeping Facebook as unregulated as it is now.",https://dailyillini.com/opinions-stories/2021/11/18/meta-facebook-launch/
0,Welcome to Meta - Facebook,,https://about.facebook.com/meta/
0,"Meta — different name, same mess | Opinion | DW | 29.10.2021","Different Name, Same Mess
You have to hand it to Mark Zuckerberg: He certainly doesn't shy away from embarrassing himself - witness his cringeworthy video announcement to rebrand Facebook as Meta.

If we're being kind, Zuckerberg's show could be considered an ambitious vision if it wasn't for the fact that the company currently has enough problems on its hands that neither a new name nor virtual reality can solve.

For weeks, media outlets have been publishing internal documents under the name ""Facebook Papers,"" many of which originated with former company employee-turned-whistleblower Frances Haugen.

These documents reveal a world that has nothing whatsoever to do with Zuckerberg's cozy visions.

Facebook does far too little to curb hate speech and conspiracy narratives.

Zuckerberg's calculation is that the overall corporation will garner a better image if Facebook is just a part of the whole.

Zuckerberg is simply attempting to pull the wool over people's eyes.",https://www.dw.com/en/opinion-meta-different-name-same-mess/a-59667444
0,Americans Don't Like 'Meta' Name Or Care About Facebook's,"Americans Don'T Like 'Meta' Name Or Care About Facebook'S Metaverse
Last week, Facebook Inc. announced its new corporate name, Meta, along with a new logo as part of the company's strategic shift toward focusing on the metaverse.

The public's initial reaction to the rebrand is less than enthusiastic, according to new data from Morning Consult.

A plurality of Americans said they have an unfavorable opinion of the new name.

Meta's new logo received a slightly less chilly reception, with respondents more evenly split on the warped infinity symbol.

That the new corporate name is meant to better ""Reflect who we are and the future we hope to build,"" a reference to his aspirations of building a metaverse, which he describes as ""An embodied internet where you're in the experience, not just looking at it."" The public is not so sure that's Meta's main motivation for changing its name.

Roughly half of Americans said that if they had to guess, they would say Meta rebranded in an effort to distance itself from negative press.

Was conducted Oct. 29-Nov. 1, 2021, among 2,200 U.S. adults with a margin of error of plus or minus 2 percentage points.",https://morningconsult.com/2021/11/02/meta-facebook-brand/
0,Metaverse? Are You Kidding Me?! - The New York Times,"""Mr. Zuckerberg painted a picture of the metaverse as a clean, well-lit virtual world, entered with virtual and augmented reality hardware at first and more advanced body sensors later on, in which people can play virtual games, attend virtual concerts, go shopping for virtual goods, collect virtual art, hang out with each other's virtual avatars and attend virtual work meetings.""

After carefully curating the people, institutions and outlets that I follow, I now encounter more information than I could ever have imagined, more information than I can process.

Social media is another publishing platform, and as a person who produces content that is published, social media was another outlet for me.

To write more things that I don't immediately share.

I want to share more pictures with the people I love and who love me - and not with the world, to get that world to react.

I question my intentions more when I have the urge to post.

As Facebook and others move toward the metaverse, I will choose to move toward a truer version of myself, one that lives more fully in the here and now.",https://www.nytimes.com/2021/10/31/opinion/metaverse-facebook.html
0,"Opinion | Goodbye, Facebook. Welcome to the Meta Zone.","Goodbye, Facebook. Welcome To The Meta Zone.
It is an area we call Meta, the new rebranded name of the Facebook parent company.

Nightmare of 40,000 Employees: A Facebook engineer has been hired to help protect the social network's users.

Long Live Walter Jameson: Horrified by findings that their users are aging more rapidly than the population at large, Facebook employees try everything they can to turn back the clock, including but not limited to studying preteens and ""Exploring playdates as a growth lever"" for Facebook Messenger Kids.

Nothing can stop the terrifying march of time, and Facebook ends the episode looking on in horror as its average user, Walter Jameson, ages suddenly and rapidly shrivels into dust after logging on one time too many.

AddThe Howling Man: Facebook figures out that its new algorithm that attempts to decrease the spread of misinformation by lowering the sharing of articles that sharers have not actually read would have a disproportionally negative impact on articles from conservative sources but it feels sorry for the articles that would be imprisoned by this new policy and doesn't implement it.

The Mirror: Believing that they can use Facebook to see who is betraying the state, the leaders in Vietnam ask Mark Zuckerberg to censor the content that appears on it.

To Serve Man: Mark Zuckerberg announces that he is going to create a wonderful network that will serve mankind, but actually, he means ""Serve"" like ""Cook.""",https://www.washingtonpost.com/opinions/2021/10/29/facebook-meta-renamed-twilight-zone-parody/
0,Opinion: Mark Zuckerberg doesn't have to control the future,"Facebook'S Metaverse Isn'T The Only Future
What this represents, other than a clever bit of corporate rebranding for the company, whose flagship app is waning in popularity and whose public image is writhing in crisis, is an all-encompassing vision for the future of the Internet.

Do we really want Mark Zuckerberg to write tomorrow's rules?

The chief executive's announcement last week that his firm would focus its energy on crafting the so-called metaverse was probably perplexing to even seasoned Internet inhabitants who are beyond their high school and college years.

Before long the status quo gave way to today's centralized platforms and advertisement-based business strategies - what the academic Shoshana Zuboff calls ""Surveillance capitalism."" This is the society Facebook helped to create; now it wants to create another.

Pardon the world if it doesn't want to leave this to him or any single company.

This time, the public sector would do well to involve itself by investing in the future it wants to see.

The Facebook CEO's announcement has given everyone else a chance to think about their own visions rather than merely accept his.",https://www.washingtonpost.com/opinions/2021/11/02/mark-zuckerberg-doesnt-have-control-future/
0,The expert's view- Facebook's move to Meta - 2021 - Articles,"Transform Magazine: The Expert'S View- Facebook'S Move To Meta
At the annual Facebook Connect conference, founder and CEO Mark Zuckerberg announced Facebook group's official rebrand to Meta, which will focus on bringing the metaverse to life and help people connect.

""That said, the execution of his vision has already fallen somewhat flat. An opportunity to be distinctive has been lost in the desire to retain links to Facebook through a similar colour palette, whilst the typography is reminiscent of early 2000s phone companies and feels a little generic. Of course, the rebrand also comes at a pivotal time for the company, currently embattled by increasing scrutiny from Congress. As a move to shift focus away from the ills of Facebook of old, the rebrand has its work cut out for it - and, on first review, it may struggle to live up to the task.""

""Facebook's rebrand to Meta signals a move to simultaneously overcome its current struggles and define a new growth opportunity. The shifting of its focus towards the metaverse and goal to make AR and VR-enabled experiences part of""the next generation of online social experiences"" has been well publicised and is indicative of how digital experience is evolving and touching more of our everyday lives"".

""The renaming of Facebook's parent company to Meta changes nothing for them, especially not the public perception of Facebook as a force for chaos, misinformation, and privacy violation. Mark Zuckerberg, a simulacrum of a human being, proposes that we will join his online environment called the""metaverse"", presumably as an escape from the dystopian society that Facebook has helped create.

""While it would be easy to see this recent move from Facebook as a smoke screen to throw people off negative press, it's short-sighted to look at the launch of Meta through such a one dimensional lens. A rebrand fools no-one when you are dealing with a crisis and Facebook will know this.""

The reality is that this move has been on the cards for a very long time as Facebook transitions its focus from platform to medium.

Alex Marshall, director of creative and strategy, Starts With A. ""Whilst the new name has already been widely ridiculed, this will likely be a successful move for Facebook. Zuckerberg has a clear vision and the Facebook name will constrain these ambitions. It makes commercial sense and already the share price has increased as a result. By moving to Meta, a clear and strong identity, the company can travel in the direction of the future platforms it wants to build. Yes, this might be another Google/Alphabet, but the strategy and reasoning behind this rebrand is much stronger. By 2031 I doubt that Gen Alpha will even be aware that Facebook used to be the parent brand.""",https://www.transformmagazine.net/articles/2021/the-experts-view-facebooks-move-to-meta/
0,"Koniec Facebooka, czas na Meta. Zuckerberg chce zmienić ...","Koniec Facebooka, Czas Na Meta. Zuckerberg Chce Zmienić Cyfrowy Świat
Zmiana nazwy z Facebooka na Meta nie jest żadną rewolucją.

Choć Zuckerberg nie mówi tego wprost, ta monetyzacja będzie kluczem do rozwoju nowej platformy.

Pozostaje kwestia ceny i nie chodzi tu wcale o pieniądze w dostępie do usługi, bo na te kwestie Zuckerberg ma swoją dewizę: nie budujemy usług, aby zarabiać; zarabiamy pieniądze, aby budować lepsze usługi.

Na jakich zasadach? Bo jeśli na takich jak dziś działa Facebook, to chyba nie warto.

Będzie to wymagało nie tylko nowatorskich prac technicznych - takich jak wspieranie projektów kryptograficznych i NFT w społeczności - ale także nowych form zarządzania - pisał szef byłego już Facebooka.

Nie da się ukryć, że ujawnienia planów związanych z metaverse zbiega się potężnymi problemami Facebooka.

Na razie szef Meta zdaje się tymi faktami nie martwić.","https://serwisy.gazetaprawna.pl/nowe-technologie/artykuly/8282438,meta-koniec-facebooka-mark-zuckerberg.html"
0,"Fejs, czyli Meta. Po co Zuckerbergowi ta zmiana i co ... - Polityka","Facebook, Czyli Meta. Po Co Markowi Zuckerbergowi Ta Zmiana? Czym Jest Metawersum?
Wiele osób zastanawia się, czy nie jest to po prostu próba ucieczki Zuckerberga od trapiących go niewygodnych tematów.

Kiedy ostatnio Facebook padł na kilka godzin, miliardy użytkowników na całym świecie poczuło się jak ryby wyrzucone na brzeg.

""„Metawersum będzie wyglądać jak hybryda dzisiejszych internetowych doświadczeń społecznych, czasami rozszerzona na trzy wymiary lub rzutowana na świat fizyczny - tłumaczy swoją przemianę Facebook.

""O co tu chodzi? Metawersum to rodzaj cyfrowego wszechświata, wirtualnej rzeczywistości 3D, w której zanurzają się użytkownicy, wchodząc ze sobą w kontakt. Służą im do tego okulary VR i czujniki ruchu, takie jak facebookowe oculusy, których rozwój jest fragmentem projektu firmy Meta. Mark Zuckerberg zapowiada, że to dopiero początek, który ma zapewnić platforma Presence, umożliwiająca „nowe doświadczenia w rzeczywistości mieszanej w Quest 2"" - cokolwiek to oznacza.

Na razie użytkownicy starego FB mogą spać spokojnie, bez obawy, że następnego dnia obudzą się i okaże się, że zamiast sięgnąć po telefon, będą musieli założyć gogle VR. Projekt metawersum jest dopiero w blokach startowych, a nie na mecie jako gotowy produkt.

Jest też inna, bardziej biznesowa diagnoza: że Facebook chce uciec do przodu, podobnie jak inne giganty z GAFA, i szuka sobie miejsca w tym wyścigu technologicznym.

Przykład takiej transformacji dał Google, zmieniając nazwę koncernu na Alphabet, bo nowa marka jest lepszym logo dla wielu nowych aktywności, takich choćby jak Waymo, czyli tworzenie autonomicznych aut niewymagających kierowcy.","https://www.polityka.pl/tygodnikpolityka/rynek/2141280,1,fejs-czyli-meta-po-co-zuckerbergowi-ta-zmiana-i-co-oznacza-dla-uzytkownikow.read"
